baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids,cellids,targettaxid
100421714,Active,90523,103384887,11196500,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.11,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-4-[(2-phenylacetyl)amino]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421725,Active,90523,103384909,11287488,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1.5,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,"Benzamide, N-hydroxy-4-[(1-oxobutyl)amino]-",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421736,Active,90523,103384910,11151102,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1.2,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-4-[(4-phenylbutanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421747,Active,90523,103384933,9994848,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.044,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-Hydroxy-4-(4-phenylbutanoylamino)benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421758,Active,90523,103385018,11722988,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,6,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,N-(2-Aminophenyl)-4-[(butanoylamino)methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421769,Active,90523,103385133,11221089,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.53,ChEMBL,Inhibition of histone deacetylase (HDAC) activity in DU-145 nuclear extracts,CID 11221089,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100421780,Active,90524,103384435,11220440,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,20,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 10-20 uM,N-[4-[(E)-3-(Hydroxyamino)-3-oxoprop-1-enyl]phenyl]-2-propylpentanamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100421791,Active,90524,103384705,11210392,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,20,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 10-20 uM,CID 11210392,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100421802,Active,90524,103385294,11222711,10014,14711316,Confirmatory,20200703,0,0,Q9UQL6,IC50,<,20,ChEMBL,Inhibitory concentration against histone deacetylase (HDAC); Value ranges from 10-20 uM,N-[4-[(E)-3-(2-Aminoanilino)-3-oxoprop-1-enyl]phenyl]-2-propylpentanamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,NULL,NULL,
100425683,Active,90349,103174338,444732,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.05329,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,Trichostatin A,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425694,Active,90349,103197084,4261,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.19459,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,Entinostat,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425705,Active,90349,103285808,10154438,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.23315,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,5-(4-Benzenesulfonylamino-phenyl)-pent-2-en-4-ynoic acid hydroxyamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425716,Active,90349,103401628,11392331,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.37097,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,N-[[4-[(E)-3-(Hydroxyamino)-3-oxoprop-1-enyl]phenyl]methyl]pyridine-3-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425727,Active,90349,103401667,9799221,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.20527,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,CID 9799221,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425738,Active,90349,103401889,6918714,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.17202,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,4-(Dimethylamino)-N-[[4-[(E)-3-(hydroxyamino)-3-oxoprop-1-enyl]phenyl]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425749,Active,90349,103401890,11420037,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.56997,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,N-[[4-[(E)-3-(Hydroxyamino)-3-oxoprop-1-enyl]phenyl]methyl]-4-[4-(pyridin-3-ylmethyl)piperazin-1-yl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100425760,Active,90349,103401926,11483359,10014,14667227,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.94161,ChEMBL,Inhibitory activity against Histone deacetylase (HDAC) from SNU-16 (human gastric adenocarcinoma) cells,N-[[4-[(E)-3-(Hydroxyamino)-3-oxoprop-1-enyl]phenyl]methyl]pyridine-2-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,66,
100426764,Active,90529,103174146,5311,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.05,ChEMBL,Inhibitory concentration against histone deacetylase,Vorinostat,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426775,Active,90529,103174289,11129435,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,36.8,ChEMBL,Inhibitory concentration against histone deacetylase,3-(4-Benzoyl-1-methyl-1H-pyrrol-2-yl)-N-hydroxy-propionamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426786,Active,90529,103174338,444732,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0033,ChEMBL,Inhibitory concentration against histone deacetylase,Trichostatin A,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426797,Active,90529,103174338,444732,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0072,ChEMBL,Inhibitory concentration against histone deacetylase,Trichostatin A,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426808,Active,90529,103174394,11130223,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1,ChEMBL,Inhibitory concentration against histone deacetylase,N-Hydroxy-3-[(E)-1-methyl-4-(3-phenyl-acryloyl)-1H-pyrrol-2-yl]-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426819,Active,90529,103174402,10379137,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.1,ChEMBL,Inhibitory concentration against histone deacetylase,(2E)-N-Hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426852,Active,90529,103392594,10999664,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,5,ChEMBL,Inhibitory concentration against histone deacetylase,(E)-3-(4-Benzoyl-1H-pyrrol-2-yl)-N-hydroxyprop-2-enamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426863,Active,90529,103318924,10092736,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,4.6,ChEMBL,Inhibitory concentration against histone deacetylase,N-(5-Methoxy-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426874,Active,90529,103318925,9977701,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.8,ChEMBL,Inhibitory concentration against histone deacetylase,N-(5-Methyl-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426885,Active,90529,103318994,10834447,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,6,ChEMBL,Inhibitory concentration against histone deacetylase,N-(5-Fluoro-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426896,Active,90529,103319028,11795873,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,7.7,ChEMBL,Inhibitory concentration against histone deacetylase,N-(5-Chloro-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426907,Active,90529,103381801,6445533,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.032,ChEMBL,Inhibitory concentration against histone deacetylase,Dacinostat,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426918,Active,90529,103382549,11088199,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.064,ChEMBL,Inhibitory concentration against histone deacetylase,(E)-N-Hydroxy-3-[4-[(3-phenylpropylamino)methyl]phenyl]prop-2-enamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426940,Active,90529,103318779,10669053,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,44,ChEMBL,Inhibitory concentration against histone deacetylase,N-(4-Methoxy-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426973,Active,90529,103318845,10474722,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.2,ChEMBL,Inhibitory concentration against histone deacetylase,Pyridin-3-ylmethyl N-[[4-[(2-hydroxyphenyl)carbamoyl]phenyl]methyl]carbamate,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100426995,Active,90529,103257289,5278573,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.4,ChEMBL,Inhibitory concentration against histone deacetylase,3-[4-(4-Chloro-benzoyl)-1-methyl-1H-pyrrol-2-yl]-N-hydroxy-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427006,Active,90529,103257323,5278574,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,3.8,ChEMBL,Inhibitory concentration against histone deacetylase,3-[4-(4-Fluoro-benzoyl)-1-methyl-1H-pyrrol-2-yl]-N-hydroxy-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427017,Active,90529,103257326,5278572,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,3.9,ChEMBL,Inhibitory concentration against histone deacetylase,N-Hydroxy-3-[1-methyl-4-(4-nitro-benzoyl)-1H-pyrrol-2-yl]-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427039,Active,90529,103318752,10597715,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,40,ChEMBL,Inhibitory concentration against histone deacetylase,N-(4-Chloro-2-aminophenyl)-4-[[(3-pyridylmethoxy)carbonylamino]methyl]benzamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427061,Active,90529,103197968,10193364,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(2-Naphthylcarbonylamino)methyl]cyclohexanecarbohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427072,Active,90529,103198540,10309124,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1.1,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(2-Naphthylsulfonylamino)methyl]cyclohexanecarbohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427083,Active,90529,103233986,10401611,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,1.9,ChEMBL,Inhibitory concentration against histone deacetylase,N-Hydroxy-3-[1-methyl-4-(4-methyl-benzoyl)-1H-pyrrol-2-yl]-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427094,Active,90529,103234603,10267576,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.4,ChEMBL,Inhibitory concentration against histone deacetylase,3-[4-(4-Dimethylamino-benzoyl)-1-methyl-1H-pyrrol-2-yl]-N-hydroxy-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427116,Active,90529,103256714,11022963,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.9,ChEMBL,Inhibitory concentration against histone deacetylase,N-Hydroxy-3-[4-(4-methoxy-benzoyl)-1-methyl-1H-pyrrol-2-yl]-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427127,Active,90529,103174403,5278571,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,3.8,ChEMBL,Inhibitory concentration against histone deacetylase,3-(4-Benzoyl-1-methyl-1H-pyrrol-2-yl)-N-hydroxy-acrylamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427138,Active,90529,103197084,4261,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,4.8,ChEMBL,Inhibitory concentration against histone deacetylase,Entinostat,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427149,Active,90529,103197267,10215484,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.31,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(4-Phenylbenzoylamino)methyl]cyclohexanecarbohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427160,Active,90529,103197500,9797137,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.044,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(2-Naphthylcarbonylamino)methyl]benzohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427171,Active,90529,103197501,10125717,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.83,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(1-Naphthylcarbonylamino)methyl]benzohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427182,Active,90529,103197891,10172225,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.24,ChEMBL,Inhibitory concentration against histone deacetylase,4-[(4-Phenylbenzoylamino)methyl]benzohydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427187,Active,90530,103286991,6400741,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.004,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,Psammaplin A,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427198,Active,90530,103392448,11092030,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.33,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,Psammaplin E,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427209,Active,90530,103392449,10412869,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.002,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,Psammaplin F,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427220,Active,90530,103392450,11113600,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.079,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,Psammaplin H,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427231,Active,90530,103392451,21581855,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.044,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,Psammaplin D,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427264,Active,90530,103393089,11139651,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,23,ChEMBL,Inhibitory concentration against isolated Histone deacetylase,(E)-3-(4-Benzoyl-1-methylpyrrol-2-yl)prop-2-enimidamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427323,Active,90353,103174146,5311,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.12,ChEMBL,Inhibitory concentration against human histone deacetylase,Vorinostat,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427334,Active,90353,103243005,44299072,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.041,ChEMBL,Inhibitory concentration against human histone deacetylase,N-[7-(Hydroxyamino)-7-oxoheptyl]-1H-indole-7-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427345,Active,90353,103243006,44299073,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0565,ChEMBL,Inhibitory concentration against human histone deacetylase,N-[7-(Hydroxyamino)-7-oxoheptyl]-1H-indole-6-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427356,Active,90353,103243026,44299082,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0803,ChEMBL,Inhibitory concentration against human histone deacetylase,N-[7-(Hydroxyamino)-7-oxoheptyl]-1H-indole-4-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427367,Active,90353,103243149,44299123,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.015,ChEMBL,Inhibitory concentration against human histone deacetylase,5-Chloro-N-[7-(hydroxyamino)-7-oxoheptyl]-1-benzofuran-2-carboxamide,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427378,Active,90353,103243167,44299132,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0314,ChEMBL,Inhibitory concentration against human histone deacetylase,7-(1H-Indole-5-ylcarbonylamino)heptanehydroximic acid,HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427400,Active,90353,103340961,44343096,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.9,ChEMBL,Inhibitory concentration against human histone deacetylase,"2,2,2-Trifluoro-1-[2-[4-(4-phenylphenoxy)butyl]cyclopropyl]ethanone",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427411,Active,90353,103392712,44365075,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,5,ChEMBL,Inhibitory concentration against human histone deacetylase,"(3E)-1,1,1-Trifluoro-8-(4-biphenylyloxy)-3-octene-2-one",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427422,Active,90353,103393149,44365258,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.0296,ChEMBL,Inhibitory concentration against human histone deacetylase,"N-[7-(Hydroxyamino)-7-oxoheptyl]-2,3-dihydro-1-benzofuran-2-carboxamide",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427433,Active,90353,103340602,44342956,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,3,ChEMBL,Inhibitory concentration against human histone deacetylase,"9,9,9-Trifluoro-8-oxo-N-(4-phenylphenyl)nonanamide",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427444,Active,90353,103340612,44342958,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,2.2,ChEMBL,Inhibitory concentration against human histone deacetylase,"N-Phenyl[4-[(1E)-3-oxo-4,4,4-trifluoro-1-butenyl]phenoxy]acetamide",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427466,Active,90353,103340824,9977314,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.31,ChEMBL,Inhibitory concentration against human histone deacetylase,"9,9,9-Trifluoro-8-oxo-N-(4-phenyl-1,3-thiazol-2-yl)nonanamide",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
100427477,Active,90353,103340831,25023793,10014,14613312,Confirmatory,20200703,0,0,Q9UQL6,IC50,=,0.38,ChEMBL,Inhibitory concentration against human histone deacetylase,"9,9,9-Trifluoro-8-oxo-N-(3-phenylphenyl)nonanamide",HDAC5 - histone deacetylase 5 (human),/gene/10014,3.5.1.98,Q9UQL6,9606,NULL,
