activity,cid,acvalue
Active,11004308,0.01
Active,10927898,0.02
Active,11024550,0.038
Active,11034593,0.059
Active,11111307,0.04
Active,11122087,0.014
Active,11759466,0.046
Active,10914997,0.067
Active,10871792,0.024
Active,11035592,0.014
Active,11024529,0.023
Active,10894419,0.084
Active,10925849,0.03
Active,11024886,0.037
Active,6445533,0.032
Active,10980767,0.111
Active,5311,7.2
Active,395803,0.004
Active,444732,0.1
Active,3812,2.18
Active,3994,1.62
Active,5311,3.1
Active,444732,0.4
Active,9965141,5.7
Active,3812,1.6
Active,10967421,8.9
Active,4996,7.9
Active,11747496,2.9
Active,395803,0.01
Active,298878,4.1
Active,10902481,2.4
Active,3994,2.1
Active,11066195,6.9
Active,4871646,7.5
Active,5311,0.194
Active,444732,0.026
Active,3811,0.244
Active,9965141,0.568
Active,3812,0.145
Active,9862144,0.265
Active,10967421,0.306
Active,11086699,0.149
Active,4996,0.2
Active,11747496,0.248
Active,395803,0.005
Active,10968817,0.443
Active,11810423,0.22
Active,298878,0.27
Active,10902481,0.279
Active,9943996,1.556
Active,3994,0.046
Active,403373,0.369
Active,11066195,0.357
Active,4871646,0.515
Active,6918328,0.001
Active,10746642,0.33
Active,56668109,0.23
Active,10627876,0.086
Active,56681671,0.214
Active,444732,0.0046
Active,4261,4.8
Active,10597715,40
Active,10092736,4.6
Active,9977701,2.8
Active,10834447,6
Active,11795873,7.7
Active,10669053,44
Active,10474722,2.2
Active,5311,0.28
Active,11298778,11
Active,11379392,0.21
Active,11414831,1.2
Active,11220728,1.1
Active,11449823,0.075
Active,9927379,17
Active,44359674,2.8
Active,11437457,0.39
Active,11346934,0.34
Active,11370695,22
Active,11436024,0.37
Active,11608171,6.2
Active,11149404,1.5
Active,25118057,0.34
Active,11265886,0.079
Active,11232751,0.62
Active,11324959,0.21
Active,11345433,0.11
Active,10379373,0.072
Active,11173451,0.1
Active,11254470,7.1
Active,11427204,0.17
Active,11447748,0.36
Active,11277483,0.61
Active,11173720,0.085
Active,11196500,0.157
Active,11151102,0.53
Active,9994848,0.044
Active,11221089,1.2
Active,6918801,0.03
Active,11312563,0.034
Active,6918848,0.016
Active,11220677,0.084
Active,11817702,0.21
Active,11358869,0.52
Active,11231829,0.068
Active,11472431,0.25
Active,11347053,0.054
Active,11243465,0.098
Active,11461551,0.025
Active,11185206,0.11
Active,3811,1.866
Active,444732,0.0545
Active,11151694,1.1
Active,44401305,2.8
Active,44401339,12.5
Active,44401387,2.5
Active,44401388,2.35
Active,11335690,0.66
Active,44401484,2.8
Active,44401548,3.1
Active,44401572,1.5
Active,44401640,10.2
Active,44401641,39.5
Active,5311,0.28
Active,11437457,0.39
Active,11370695,22
Active,11623126,11
Active,44392266,24
Active,44392304,3
Active,5311,0.1
Active,44359547,4
Active,44359681,4.4
Active,9848223,0.75
Active,9891541,0.97
Active,5311,0.28
Active,11298778,11
Active,11379392,0.21
Active,11414831,1.2
Active,11220728,1.1
Active,11449823,0.075
Active,11149404,1.5
Active,11173451,0.1
Active,11436024,0.37
Active,11608171,6.2
Active,9882812,6.7
Active,10246670,14
Active,11173720,0.085
Active,11265886,0.079
Active,11232751,0.62
Active,11324959,0.21
Active,11345433,0.11
Active,10379373,0.072
Active,11254470,7.1
Active,11427204,0.17
Active,11447748,0.36
Active,11277483,0.61
Active,44322612,30
Active,23327627,17
Active,444732,0.005
Active,9815480,0.279
Active,10154438,2
Active,11326952,1.17
Active,11651487,0.252
Active,11687325,0.302
Active,10249964,0.049
Active,11528707,2.58
Active,11703489,10.4
Active,11280685,0.074
Active,11593830,1.7
Active,11492498,0.788
Active,11360338,0.172
Active,4261,1
Active,44328913,10
Active,44328915,10
Active,44328918,10
Active,44328919,5
Active,44328927,3
Active,23072489,15
Active,9887245,10
Active,44329220,5
Active,5048,1
Active,10341900,5
Active,44328975,10
Active,44329159,20
Active,23072426,25
Active,10109962,25
Active,44329200,25
Active,44329201,2
Active,10269384,5
Active,44328959,3
Active,44328965,3
Active,10157889,5
Active,5311,0.28
Active,10246670,14
Active,9927379,17
Active,44350626,1.1
Active,44350633,1.8
Active,44350642,0.34
Active,44350643,0.09
Active,44350655,0.99
Active,44350686,0.61
Active,44350808,0.58
Active,44350811,6.4
Active,9823037,0.03
Active,44350825,0.31
Active,44351006,0.32
Active,44452860,2
Active,44350687,0.54
Active,44350703,0.52
Active,44350718,0.62
Active,44350719,0.43
Active,44350797,1.5
Active,10429614,0.06
Active,44350688,0.25
Active,44350789,1.83
Active,5311,0.01
Active,444732,0.0034
Active,4261,2
Active,44341043,0.11
Active,44341053,2.9
Active,5311,0.12
Active,44330308,0.0014
Active,44330309,0.66
Active,6917986,0.002
Active,44330464,0.0021
Active,44330499,0.099
Active,44330508,0.038
Active,10479996,0.051
Active,44330513,0.64
Active,9870729,0.038
Active,44330551,0.066
Active,44330590,5
Active,13889849,0.43
Active,6918328,0.001
Active,56657800,0.034
Active,56657801,0.013
Active,56657802,0.0002
Active,10746642,0.33
Active,11490265,0.002
Active,15484558,0.257
Active,56681740,0.091
Active,15484559,0.004
Active,56681741,0.015
Active,15484557,0.419
Active,10627876,0.086
Active,56668203,0.0002
Active,56668204,0.0013
Active,56675096,0.444
Active,56675097,0.067
Active,56657793,0.235
Active,56657895,0.061
Active,56657896,0.0003
Active,56657897,0.001
Active,56661386,0.11
Active,56661387,0.073
Active,56678471,0.007
Active,56678472,0.282
Active,56675158,0.006
Active,56675159,0.005
Active,56678453,0.074
Active,56678454,0.002
Active,56678455,0.326
Active,56678470,0.0002
Active,56671736,0.003
Active,56671747,1.45
Active,56671748,0.144
Active,56671749,0.0001
Active,56671750,2
Active,56671751,0.11
Active,56668199,0.001
Active,56668278,0.06
Active,56668280,0.0004
Active,56668281,0.18
Active,56668283,0.03
Active,56668284,0.015
Active,56661409,0.45
Active,56661410,0.001
Active,56661411,0.018
Active,56661412,0.848
Active,56661413,0.039
Active,56664859,0.7
Active,56668279,0.085
Active,56671735,0.085
Active,56681816,0.085
Active,3121,NULL
Active,44453388,17.5
Active,24759251,9.6
Active,3082127,0.45
Active,44457014,0.14
Active,44457015,0.096
Active,44457016,0.15
Active,9817551,0.028
Active,5311,0.28
Active,444732,0.3
Active,5353767,0.059
Active,11379392,0.21
Active,11254470,7.1
Active,11406292,0.137
Active,10246177,0.123
Active,10131653,0.476
Active,9967396,0.034
Active,10157466,0.054
Active,11361410,0.106
Active,44457145,0.8
Active,11404069,0.8
Active,9969900,0.023
Active,10001038,0.008
Active,10093090,0.012
Active,9836655,0.029
Active,9821324,0.008
Active,44457127,1
Active,44457128,0.7
Active,44457074,0.128
Active,44457097,0.009
Active,44457098,0.146
Active,44457100,0.019
Active,10070262,0.012
Active,10458209,0.4
Active,11964503,0.15
Active,44457072,0.018
Active,44457073,0.015
Active,6918638,0.028
Active,11573286,0.188
Active,9880674,0.018
Active,11964504,0.081
Active,44456994,13.3
Active,44418184,0.008
Active,44418191,0.005
Active,44418194,0.022
Active,44418195,0.02
Active,44418207,0.006
Active,11558827,0.7
Active,9977875,0.007
Active,11723098,0.1
Active,10452725,0.029
Active,44418166,0.034
Active,44418169,0.013
Active,44418170,0.107
Active,10246779,0.033
Active,44418116,0.005
Active,44418125,1.26
Active,44418141,0.75
Active,10470023,0.153
Active,44418152,0.009
Active,11437457,0.39
Active,11437457,2.44
Active,11370695,20.1
Active,10242569,0.243
Active,44418106,1.13
Active,10246764,0.021
Active,11436024,0.37
Active,11608171,6.2
Active,11149404,1.5
Active,5353765,0.03
Active,10271952,0.066
Active,5311,0.44
Active,10063584,0.38
Active,10002709,0.11
Active,10266202,0.15
Active,10357349,0.18
Active,9993471,0.26
Active,11637291,0.12
Active,11694528,0.06
Active,11572583,0.04
Active,5311,0.33
Active,10063584,1.6
Active,10002709,9.4
Active,10266202,1.3
Active,10357349,2.24
Active,11637291,9.4
Active,11694528,7.4
Active,11572583,15.5
Active,444732,0.053
Active,4261,0.233
Active,11392331,0.37
Active,9799221,0.205
Active,6918714,0.172
Active,11483359,0.941
Active,5311,0.14
Active,44340857,4.9
Active,25023794,0.0037
Active,22915465,0.02
Active,10055830,27
Active,44456992,0.0043
Active,44349782,0.019
Active,44349795,0.089
Active,9952732,0.0068
Active,44349814,0.013
Active,16095113,1.3
Active,16095102,0.045
Active,44349739,0.011
Active,44349740,0.0085
Active,44349758,0.0025
Active,44349760,0.023
Active,44349778,0.012
Active,10426019,0.0021
Active,44349504,0.0058
Active,44349514,0.074
Active,44349632,0.0098
Active,44349683,0.0043
Active,44349684,0.0043
Active,44349738,0.042
Active,44341224,3.7
Active,44341243,0.082
Active,44341245,0.0031
Active,44349482,0.0027
Active,44349491,0.0044
Active,44341043,0.11
Active,44341044,0.109
Active,44341045,0.062
Active,44341053,2.9
Active,9822443,0.0091
Active,5311,0.11
Active,44443377,2.97
Active,44443378,1.9
Active,44443380,2.1
Active,44443381,0.86
Active,44443386,1.94
Active,11186578,0.82
Active,11188547,0.51
Active,11430672,0.59
Active,44443412,0.32
Active,24779712,0.037
Active,44443416,0.27
Active,24779713,0.03
Active,44443418,0.2
Active,44443419,0.11
Active,44443388,0.44
Active,44443393,0.56
Active,44443399,0.45
Active,11359066,0.23
Active,44443405,0.23
Active,11362097,0.22
Active,11236322,1.2
Active,11417689,0.09
Active,11545665,0.44
Active,11597343,1.6
Active,11531687,4.7
Active,11374190,0.05
Active,11554742,3.2
Active,11603909,0.55
Active,11670005,11
Active,11547141,15
Active,11583320,0.16
Active,11558091,2.8
Active,11551699,3.5
Active,11688802,32
Active,11316731,0.2
Active,11487392,2.6
Active,11373732,0.07
Active,11462782,0.57
Active,11292866,0.4
Active,11485984,0.15
Active,5311,0.41
Active,24749070,5
Active,24748984,14
Active,24749071,10.4
Active,24748985,20.1
Active,24748986,0.06
Active,5311,0.288
Active,5352062,0.015
Active,11963978,0.015
Active,12001305,0.0072
Active,23657268,0.007
Active,23656767,0.242
Active,6445533,0.05
Active,2746,6
Active,6918878,0.3
Active,23648267,3
Active,11393847,0.9
Active,785232,3
Active,23648268,0.15
Active,5311,0.14
Active,95168,6.53
Active,4871,1.05
Active,6437068,NULL
Active,137629294,21
Active,137629277,0.27
Active,137629006,3
Active,137629786,9
Active,5311,0.07
Active,17756301,0.27
Active,17756302,0.26
Active,17756303,0.034
Active,17756304,0.31
Active,17756305,0.28
Active,17756407,0.33
Active,17755228,0.83
Active,17756505,0.65
Active,17756506,1
Active,17756401,0.039
Active,17756402,0.45
Active,17756403,0.057
Active,17756404,0.09
Active,17756405,0.12
Active,17756406,0.34
Active,5311,6.67
Active,17756301,5.7
Active,17756302,6.9
Active,17756303,1
Active,17756304,2.97
Active,17756305,4.27
Active,17756407,2.57
Active,17755228,2.65
Active,17756505,4.1
Active,17756506,7.5
Active,17756401,1.3
Active,17756402,1.1
Active,17756403,0.29
Active,17756404,2.67
Active,17756405,2.78
Active,17756406,3.77
Active,5311,0.09
Active,4261,3.2
Active,5311,0.07943
Active,4261,12.5892
Active,2798084,0.25119
Active,44427329,0.39811
Active,44427332,0.63096
Active,24895188,1.99526
Active,44427359,0.63096
Active,44427360,1.99526
Active,14067176,0.50119
Active,15721949,0.12589
Active,44427355,0.50119
Active,24894423,0.63096
Active,23625605,0.39811
Active,44427356,0.50119
Active,23625606,0.19953
Active,44427358,0.79433
Active,44427347,1
Active,23625604,0.50119
Active,44427348,1.25893
Active,44427350,3.98107
Active,44427353,0.50119
Active,44427354,31.6228
Active,44427340,0.1
Active,44427341,0.1
Active,44427342,0.05012
Active,44427343,0.03981
Active,44427344,2.51189
Active,44427346,1.99526
Active,44427333,1.25893
Active,44427334,0.25119
Active,44427336,0.31623
Active,2798087,0.12589
Active,44427337,0.1
Active,44427339,0.07943
Active,5311,0.11
Active,11277337,0.67
Active,11403497,0.35
Active,11276149,4.27
Active,11302073,0.5
Active,11483913,3.21
Active,16720331,0.27
Active,11162880,0.13
Active,444732,0.041
Active,16220721,0.01367
Active,16220721,0.046
Active,16220753,0.167
Active,44422819,8.1
Active,5311,0.0239
Active,444732,0.0015
Active,5352062,0.1072
Active,44449588,0.058
Active,6918328,0.008
Active,44449235,36.3078
Active,25023853,26.9154
Active,9835852,16.5959
Active,25023852,5.88844
Active,10193406,9.54993
Active,24854582,4.9
Active,24854436,3.8
Active,5311,0.28
Active,42637790,12
Active,42637149,16
Active,42637372,0.92
Active,42637373,24
Active,42637298,30
Active,42637299,1.6
Active,42637300,17
Active,42638005,1.4
Active,42638004,15
Active,42637295,13
Active,42637854,2
Active,42637296,1.4
Active,42637855,4.7
Active,42637297,11
Active,42637853,4.2
Active,42637225,2
Active,42637791,23
Active,444732,NULL
Active,42639144,NULL
Active,444732,NULL
Active,42639145,NULL
Active,42639144,NULL
Active,42639145,NULL
Active,5311,0.5
Active,42637070,1.2
Active,42637074,4.4
Active,5311,0.087
Active,3811,0.11
Active,9862144,0.038
Active,9921260,0.238
Active,42599458,0.02
Active,42598944,0.028
Active,9903149,0.201
Active,42599709,0.338
Active,9924543,0.005
Active,9857639,0.625
Active,44583049,0.062
Active,9923508,0.008
Active,23092284,0.046
Active,23092216,0.141
Active,9945208,0.007
Active,42599456,0.009
Active,42599457,0.025
Active,44583037,0.036
Active,42599459,0.021
Active,9879458,0.029
Active,9882059,0.032
Active,42599455,0.023
Active,9814479,22.85
Active,23092286,0.101
Active,5311,6.7
Active,42625582,3.38
Active,42625508,1.71
Active,42625892,1.6
Active,44572384,2.35
Active,44572582,1.5
Active,44572584,1.01
Active,44572633,2.8
Active,42613483,4.2
Active,44572491,1.7
Active,44572537,3
Active,44572538,1.74
Active,44572539,0.46
Active,44572540,7.8
Active,44572581,4.4
Active,44572385,1.04
Active,44572429,3.9
Active,44572430,2.6
Active,44572489,1.15
Active,44572490,1.47
Active,44572289,17
Active,25211681,2.3
Active,44572348,18
Active,44572349,19
Active,44572350,9.1
Active,25217057,9.5
Active,42601488,0.62
Active,44572654,2.2
Active,25217288,6.4
Active,44572519,38
Active,44572558,0.59
Active,44572559,12
Active,44572560,5.8
Active,25217513,0.18
Active,25217056,9.9
Active,44572466,3.2
Active,44572468,6.8
Active,44572516,6.1
Active,44572518,29
Active,44572351,3.6
Active,25216810,7.2
Active,44572406,0.53
Active,44572407,3.2
Active,25216678,4.9
Active,25211681,0.7
Active,25211681,0.6
Active,17754282,0.11
Active,44589524,0.12
Active,44589525,0.093
Active,17754557,0.045
Active,17754514,0.11
Active,17754513,0.044
Active,44589552,0.029
Active,17754469,0.22
Active,17754416,0.19
Active,17754512,0.22
Active,44589548,0.038
Active,44589549,0.19
Active,17754559,0.029
Active,17754556,0.061
Active,17754471,0.053
Active,17754370,0.067
Active,25168576,6.5
Active,24857909,12
Active,44589735,10
Active,5311,0.11
Active,11277337,0.67
Active,11403497,0.35
Active,11276149,4.27
Active,11302073,0.5
Active,5311,0.33
Active,10063584,1.6
Active,10002709,9.4
Active,10378404,1.6
Active,44406761,9.4
Active,10266202,1.3
Active,11637291,9.4
Active,11694528,7.7
Active,11572583,15.5
Active,10402906,5.3
Active,9994119,1.2
Active,10062255,5.4
Active,11688241,8.6
Active,10357349,2.2
Active,11712658,46.8
Active,45265776,40.01
Active,45263266,26.15
Active,45263306,25.14
Active,136184410,0.186
Active,135906525,2.09
Active,135906526,7.89
Active,136184411,0.25
Active,136184412,0.291
Active,135424818,0.148
Active,135906530,2.08
Active,135906531,0.177
Active,135906532,0.474
Active,136184413,0.763
Active,136184414,3.79
Active,135906528,4.16
Active,135906529,6.63
Active,44404200,0.407
Active,5311,0.08
Active,444732,0.0035
Active,11437457,0.3
Active,11267278,0.2
Active,11772694,0.55
Active,44389561,0.6
Active,16733590,0.8
Active,16733416,0.63
Active,44389623,1
Active,44389625,0.2
Active,11279156,0.45
Active,16733412,4.7
Active,44389601,0.8
Active,44389607,5
Active,44389608,0.75
Active,11151694,0.3
Active,44389612,13
Active,44389613,0.9
Active,44389573,0.9
Active,16733414,0.044
Active,44389583,0.25
Active,44389596,0.4
Active,44389599,0.25
Active,44389600,1.7
Active,5311,0.55
Active,11552702,1.5
Active,11704283,11.2
Active,11604452,1
Active,11705012,4.3
Active,16051665,0.095
Active,16051667,0.36
Active,11639772,0.088
Active,11509729,0.026
Active,44571987,0.15
Active,44571988,0.042
Active,16051663,0.24
Active,16051775,0.15
Active,11625292,0.047
Active,17754925,0.091
Active,17754922,0.079
Active,17754922,0.038
Active,11704469,0.1
Active,11538378,0.082
Active,11280414,0.05
Active,11697190,0.28
Active,11639915,0.029
Active,11560153,0.059
Active,17754923,0.16
Active,17754279,0.044
Active,11588699,0.95
Active,11690588,0.79
Active,11430433,0.2
Active,11177533,2.1
Active,11667696,0.1
Active,11625086,0.17
Active,11638839,0.33
Active,11574525,0.85
Active,44571772,0.15
Active,11406470,0.28
Active,11362090,0.42
Active,11501517,0.46
Active,4261,2.76
Active,44228659,0.042
Active,44561976,0.63
Active,44562080,1.89
Active,25141403,NULL
Active,25141404,NULL
Active,2746,NULL
Active,11961316,NULL
Active,264,NULL
Active,11961316,NULL
Active,44588002,NULL
Active,264,NULL
Active,11961316,NULL
Active,44588002,NULL
Active,24894519,NULL
Active,24894896,NULL
Active,24894519,NULL
Active,24894896,NULL
Active,24895008,NULL
Active,24895008,NULL
Active,5311,4.5
Active,44427332,0.812
Active,23625604,4.67
Active,24894423,3.28
Active,23625605,0.857
Active,24895188,8.95
Active,10800939,9.79
Active,24894418,3.18
Active,24895120,11.6
Active,24894419,3.47
Active,24895121,5.53
Active,24894518,1.37
Active,24895189,1.48
Active,24894417,3.41
Active,10707192,4.72
Active,24895115,0.6
Active,24894897,7.53
Active,24895116,0.624
Active,24895117,0.683
Active,24893969,1.18
Active,24894642,0.748
Active,24894780,0.411
Active,24895009,1.03
Active,44568433,1.45
Active,24894895,0.836
Active,24895010,0.423
Active,24894896,9.84
Active,24895006,9.08
Active,24894777,0.377
Active,24894778,2.77
Active,24894779,1.15
Active,24895008,1.86
Active,24894644,0.5
Active,24894645,0.964
Active,24895004,1.19
Active,24895005,0.299
Active,24894776,1.74
Active,24894640,0.646
Active,24894641,0.865
Active,24894899,0.483
Active,24894900,0.533
Active,24894643,1.5
Active,24894901,0.632
Active,24894523,1.11
Active,24893970,0.964
Active,24894524,7.46
Active,24895190,2.78
Active,24894639,0.8
Active,24894898,2.99
Active,24894519,26.2
Active,24895122,1.12
Active,24895187,6.82
Active,24894517,2.07
Active,24894520,6.33
Active,24894522,1.23
Active,5311,4.8
Active,44427332,4.8
Active,24894519,2.9
Active,24894896,2.4
Active,24894897,0.76
Active,24895117,4.8
Active,5311,0.083
Active,44427332,0.375
Active,23625604,0.375
Active,24894423,0.506
Active,23625605,0.318
Active,24895188,1.26
Active,24895120,0.128
Active,24894419,0.467
Active,24895121,0.293
Active,24894518,0.087
Active,24895189,0.587
Active,24894417,0.123
Active,10707192,0.811
Active,24895118,0.195
Active,10800939,2.81
Active,24894418,0.115
Active,24895115,0.026
Active,24894897,0.01
Active,24895116,0.018
Active,24895117,0.008
Active,24893969,0.083
Active,24894642,0.066
Active,24894780,0.019
Active,24895009,0.049
Active,44568433,0.044
Active,24894895,0.015
Active,24895010,0.063
Active,24894896,0.038
Active,24895006,0.048
Active,24894777,0.016
Active,24894778,0.015
Active,24895007,0.11
Active,24894779,0.097
Active,24895008,0.014
Active,24894644,0.027
Active,24894645,0.032
Active,24895004,0.04
Active,24894775,0.079
Active,24895005,0.008
Active,24894776,0.025
Active,24894640,0.184
Active,24894641,0.174
Active,24894899,0.036
Active,24894900,0.049
Active,24894643,0.09
Active,24894901,0.046
Active,24894523,0.074
Active,24893970,0.12
Active,24894524,0.074
Active,24895190,0.127
Active,24894639,0.042
Active,24894898,0.379
Active,24894519,0.386
Active,24895122,0.094
Active,24895187,6.59
Active,24894517,0.719
Active,24894520,0.384
Active,24894522,0.124
Active,5311,0.065
Active,444732,0.005
Active,25068481,0.00209
Active,44585257,0.0139
Active,44585258,0.076
Active,44585259,0.3159
Active,44585350,0.0174
Active,25068482,0.2872
Active,44585346,0.1125
Active,25014638,0.0676
Active,44585347,0.0239
Active,44585348,0.0434
Active,44585349,0.0319
Active,44585337,0.11
Active,25014636,0.0142
Active,25014637,0.0096
Active,25068428,0.0043
Active,25068483,0.1061
Active,44585272,0.0166
Active,44585273,0.0021
Active,44585274,0.1515
Active,25014718,0.0018
Active,44585332,0.0153
Active,44585260,0.0317
Active,25068480,0.0524
Active,44585264,0.0019
Active,44585265,0.0054
Active,44585266,0.1626
Active,44585267,0.0023
Active,6445533,NULL
Active,10323670,NULL
Active,16095101,10
Active,44456965,1.9
Active,11664499,2.5
Active,16036765,1.9
Active,5311,0.1073
Active,42599456,0.0076
Active,6918877,0.0172
Active,45269750,NULL
Active,45268900,NULL
Active,44249789,NULL
Active,4261,4.8
Active,24854582,4.9
Active,42630933,NULL
Active,42632614,NULL
Active,15986418,NULL
Active,42630929,NULL
Active,22915475,NULL
Active,42630933,NULL
Active,42632614,NULL
Active,15986508,NULL
Active,15986510,NULL
Active,15986418,NULL
Active,42630929,NULL
Active,5311,NULL
Active,42631047,NULL
Active,22915475,NULL
Active,15986508,NULL
Active,42630932,NULL
Active,15986507,NULL
Active,15986510,NULL
Active,5311,NULL
Active,15986509,NULL
Active,15986506,NULL
Active,42631047,NULL
Active,42630932,NULL
Active,42630933,NULL
Active,42632614,NULL
Active,15986507,NULL
Active,15986509,NULL
Active,15986418,NULL
Active,42630929,NULL
Active,15986506,NULL
Active,42630933,NULL
Active,42632614,NULL
Active,15986508,NULL
Active,5311,NULL
Active,15986418,NULL
Active,22915475,NULL
Active,42631047,NULL
Active,42630932,NULL
Active,15986508,NULL
Active,5311,NULL
Active,15986507,NULL
Active,15986509,NULL
Active,42631047,NULL
Active,42630932,NULL
Active,15986506,NULL
Active,15986510,NULL
Active,15986507,NULL
Active,15986509,NULL
Active,42630933,NULL
Active,42632614,NULL
Active,15986506,NULL
Active,15986510,NULL
Active,15986418,NULL
Active,42630929,NULL
Active,22915475,NULL
Active,15986508,NULL
Active,15986510,NULL
Active,5311,NULL
Active,42631047,NULL
Active,42630932,NULL
Active,15986507,NULL
Active,15986509,NULL
Active,15986506,NULL
Active,42630933,NULL
Active,42632614,NULL
Active,15986418,NULL
Active,22915475,NULL
Active,15986508,NULL
Active,5311,NULL
Active,42631047,NULL
Active,42630932,NULL
Active,15986507,NULL
Active,15986509,NULL
Active,15986506,NULL
Active,15986510,NULL
Active,5311,0.7
Active,444732,0.3
Active,45269423,0.14
Active,11993691,0.59
Active,11993694,0.311
Active,11993595,4.9
Active,45271073,28
Active,444732,0.016
Active,44138031,7.2
Active,44138032,1.16
Active,44138033,3.67
Active,44591988,7.36
Active,44592059,10.8
Active,25207016,0.056
Active,24756560,0.226
Active,11545612,1.99
Active,44820090,1.48
Active,24757860,0.183
Active,24756885,0.141
Active,25207163,0.041
Active,25206848,0.02
Active,44819728,0.323
Active,11507610,0.022
Active,25207013,0.053
Active,25206852,0.027
Active,25207012,0.033
Active,25207014,0.032
Active,24757063,0.053
Active,24756884,0.175
Active,25206850,0.074
Active,44819032,0.085
Active,24756975,0.012
Active,44819384,0.02
Active,24756711,0.35
Active,25183354,0.015
Active,25206847,0.087
Active,25207011,0.017
Active,24756635,0.186
Active,24756886,0.03
Active,24756636,0.28
Active,24757061,0.027
Active,25206851,0.024
Active,44598288,NULL
Active,44598288,0.742
Active,45485792,0.017
Active,6918328,0.043
Active,44598288,0.253
Active,42612852,0.63
Active,444732,0.003
Active,44598480,0.054
Active,44598238,1.009
Active,44598289,1.046
Active,42611300,0.085
Active,42611300,0.019
Active,42611301,0.003
Active,45485793,0.791
Active,45485819,0.541
Active,44598535,0.377
Active,44598535,0.205
Active,44598238,1.04
Active,44598289,1.01
Active,6918328,NULL
Active,42612852,0.324
Active,6918328,0.022
Active,444732,0.003
Active,44598480,0.054
Active,42611301,0.001
Active,44598290,0.5
Active,45485820,NULL
Active,689043,10.84
Active,1794427,0.135
Active,4775,2.8
Active,5258,6.34
Active,5311,2.47
Active,5281767,0.539
Active,119,8.19
Active,444732,0.504
Active,444539,0.00821
Active,45482660,16
Active,44626296,3
Active,239512,4.6
Active,44626297,0.9
Active,45482672,3.5
Active,6445533,0.19
Active,45482660,1.2
Active,44626296,0.11
Active,5311,1.3
Active,45482643,0.21
Active,45482630,0.09
Active,239512,0.14
Active,44626297,0.11
Active,45482666,1.46
Active,45482667,0.47
Active,45482672,0.28
Active,45102716,NULL
Active,45102721,NULL
Active,45487914,NULL
Active,45487919,NULL
Active,45102722,NULL
Active,5311,NULL
Active,42637070,NULL
Active,42637074,NULL
Active,11682502,0.0218
Active,10309899,0.0071
Active,24756910,0.0114
